JOURNAL TITLE                                      (Previous title if applicable),Open Access ,ISSN (Print),ISSN (Online),FREQUENCY,EDITOR'S DETAILS                                                    (when available),PUBLISHER'S DETAILS,DATE OF LAST REVIEW OR ACCREDITATION,International Accreditation                         (if applicable)                                 USE INTERNTIONAL LIST WHEN REPORTING TO DHET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Libraries and Information Science,Yes                                           URL: http://www.sajis.co.za,0256-8861,,Biannually,"Prof. Dennis N. Ocholla, docholla@pan.uzulu.ac.za & Prof. Peter Underwood, pgunderwood@wol.co.za 
","Forum Press                                                                     P.O.Box 93895                                                                       Boordfontein, 0201                                        Tel/Fax: 012 549 0179                                                      E-mail: inkie@lantic.net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Occupational Therapy,,0038-2337,,Triannually,"Stephanie Homer
email sajot@mweb.co.za","PO Box 11695                                                             Hatfield, 0028                                                                    Tel/Fax: 012 365 1327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Philosophy ,,0258-0136,,Quarterly,"Professor David Spurrett, Deane-Peter Baker & Simon Beck Spurrett@ukzn.ac.za","Mr FX Williamson, Department of Philosophy, Rhodes University, PO Box 94, Grahamstown, 6140",,ISI A&H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Physiotherapy,,0379-6175,,Quarterly,"Dr Jose Frantz, Tel: (012) 959 2542, Fax: (012) 959 1217, 
E-mail: jfrantz@uwc.ac.za, P/Bag X17, Belville, 7530

",Mr A Pinheiro                                                             Physiotherapy Publications                                            ,Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Plant and Soil,,0257-1862,,Quarterly,V.L. Tolmay (E-mail: tolmayv@arc.agric.za),"Forum Press International                                              P.O. Box 72589                                                                           Lynnwood Ridge,0040",Reviewed 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Psychiatry,Yes  URL: http://www.sajp.org.za,1608-9685,,Quarterly,,"SA Medical Association Health & Medical Publishing Group, 21 Dreyer Street, 4th Floor Sanclare Building, Claremont, Cape Town, 7700; Private Bag X1, Pinelands, 7430",,ISI Social Science & Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Psychology                                        ,,0081-2463 ,,Quarterly,Prof Kobus Maree (University of Pretoria)   kobus.maree@up.ac.za                012 420 2130,"PsySSA, PO Box 989, Houghton, 2041",,ISI Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Science ,URL: http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0038-2353&lng=en&nrm=iso URL: http://www.sajs.co.za/index.php/SAJS,0038-2353,,Quarterly,sajs@assaf.org.za ,"Academy of Science of SA, PO Box 72135, Lynnwood Ridge, 0040, Tel. 012 843 6482/95",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Sport Medicine,Yes                                        URL: http://www.sajsm.org.za,1015-5163,,Quarterly,"Prof M Lambert, UCT, ","SAMA,Health and Medical Publishing Group                                                                4th floor, SanClare Building, 21 Dreyer Street, Claremont, 7700 or                                                           Pbag X1, Pinelands, 7430                                                  Tel: 021-657 8200",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal of Geomatics (South African Journal of Surveying and Geo-Information),Yes                                        URL: http://www.sajg.org.za/index.html,2225-8531,,Triannually,"Prof Charles Merry, merryeditor@sajg.org.za","CONSAS Conference              Van der Sterr Building               Rhodes Drive, Mowbrary 7785, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Journal on Human Rights,,0258-7203,,Triannually,Iain Currie ,"Juta Law, PO Box 24299, Landsdowne, 7779, Tel: 021 763 3500, Fax: 021 761 5861, Email: cserv@juta.co.za",,IBSS & ISI Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Health Review,http;//www.hst.org.za ,1025-1715,,Annually,Ashnie Padarath and Sharon Fonn   Ashnie Padarath and Rene English,Health Systems Trust 34 Essec Terrace Westville 3630      Durban    hst@hst.org.za            031 266 9090,Added in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Optometrist,Yes                                                   URL: http://www.saoptometrist.co.za,0378-9411,,Quarterly,arubin@uj.ac.za,"E-Doc (Electronic Doctor)                                                                                                                  P.O.Box 37545                                                              Faerie Glen, 0043                                                                                                                                                                                        Tel: 012 997 6531/2;                                                           Fax: 012 997 6530                                                         E-mail: lilani@edoc.co.za;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Review of Sociology (Society in Transition),,1028-9852,,Triannually,"Prof. Peter Alexander (UJ)
Dr Shireen Ally (Wits)
Dr Marcelle Dawson (UJ)
Dr Bridget Kenny (Wits)
","Routledge/ UNISA Press                   South African Sociological Ass, UJ, Dept of Sociology, Private Bag 524, Auckland Park",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Rorschach Journal,,1728-1989,,Biannually,,PO Box 74043                                                                   Lynwood Ridge; 0040; Pretoria                                           Tel: 012 803 3219                                                                        Fax: 012 420 2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Journal of Gynaecological Oncology (Formerly South African Society of Gynaecologic Oncology),Yes                                        URL: http://www.sajgo.co.za/index.php/sajgo         'URL: http://www.journals.co.za/ej/ejour_mp_sajgo.html,2074-2835,,Biannually,Prof G Dreyer                            University of Pretoria                        www.sajgo.co.za,Dr Douw Greeff                                                           Medpharm publications                                                       Email:douw@medpharm.co.za,added 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Statistical Journal,,0038-271X,,Biannually,,University of the Witwatersrand                                        Private Bag 3                                                             Wits; 2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Theatre  Journal,,1013-7548,,Annually,Temple Haupfleisch,"Centre for Theatre & Performance Studies       University of Stellenbosch                                          P.O.Box 6054 Uniedal, 7612                                          Tel: 021 808 3216, Fax: 021 887 6566                            E-mail: SATJ@sun.ac.za, htpp://www.sun.ac.za/drama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Yearbook of International Law,,0379-8895,,Annually,"Prof NJ Botha
Prof M Wiechers","The Verloren van Themmat Centre for Public Law Studies                                                               UNISA                                                                       P.O.Box 392                                                     Pretoria, 0003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Business Review,URL: http://www.journals.co.za/ej/ejour_sabr.html URL: http://www.unisa.ac.za/default.asp?Cmd=ViewContent&ContentID=22335,1998-8125,,Triannually,"Prof AA Ligthelm, Bureau of Market Research, UNISA
Prof E Sadler, School of Accounting Sciences, UNISA  ","UNISA  Press                                                                              P.O.Box 392                                                                       UNISA Press                                                             Pretoria, 0003",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Field Archaeology,,1019-5785,,Annually,,"Albany Museum                                                         Somerset Street, Grahamstown, 6139                             Tel: 046 622 2312, Fax: 046 622 2398                                                          E-mail: amlw@warthog.ru.ac.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Humanities (Natal Museum Journal of Humanities),,1681-5564,,Annually,editor@nmsa.org.za,www.nmsa.org.za,,ISI Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Journal for Folklore Studies,,1016-8427,,Biannually,,"Southern African Folklore Society                             Office of the Scientific Editor                                         Southern African Journal for Folklore Studies, Postnet Suite 15 Private Bag X25                                                   Sunnyside, 0132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Journal of Accountability and Auditing Research,,1028-9011,,Annually,Prof H de Jager,"The Southern African Insitute of Government Auditors                                                                 P.O.Box 36303                                                      Menlo Park, 0102                                                     Tel: 012 362 1221; Fax: 012 362 141                                E-mail:secretary@saiga.co",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Journal of Anesthesia and Analgesia,Yes                                           URL: http://www.sajaa.co.za,1027-9148,,Quarterly,"Prof Christina Lundgren, University of the Witwatersrand 
",Dr Douw Greeff                                                           Medpharm publications                                                       E-mail: douw@medpharm.co.za,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Journal of Critical Care,Yes                                          URL: http://www.sajcc.org.za,1562-8264,,Biannually,"Prof WL Michell Private Bag X1, Pinelands, 7430  ","Health & Medical Publishing Group Private Bag X1, Pinelands, 7430                                                            Tel: 021 657 8212;                           Fax: 021 683 4509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Journal of Demography,,1682-4482,,Biannually,,The Demographic Association of South Africa;c/o Postnet Suite #175                                               Private Bag X855                                             Pretoria; 0001                                                             Tel:  012 331 6492;                Fax: 012 331 6494                                               E-mail:melpot@iafrica.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Journal of Entrepreneurship and Small Business Management,,"1015-3977, e- 2071-3185",,Annually,Dr R van Wyk,University of Pretoria - SA,Added 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Journal of Environmental Education,Yes                                         URL: http://www.eeasa.org.za/index.php?option=com_content&view=category&id=45&Itemid=72,1810-0333,,Annually,,Environmental Education Association of SA;c/o Umgeni Valley Project;                                          Wildlife and Environment Society of South Africa                                                            P.O.Box 394                                                               Howick; 3290                                                                     Tel: 033 330 393; Fax: 033 330 4576                                      E-mail:eeasa@futurenet.co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Journal of Epidemiology and Infection,Yes                                                 URL: http://www.sajei.co.za/index.php/SAJEI,1015-8782,,Quarterly,Prof Charles Feldman,Medpharm Publications,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Journal of Medieval and Renaissance Studies,,1017-3455,,Annually,,"Southern African Journal of Medieval and Renaissance Studies                                              Department of English                                                  University of the Witwatersrand                                      Private Bag 3                                                                      Wits, 2050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Linguistics And Applied Language Studies ,,1607-3614 ,,Quarterly,"Prof Jacobus A Naudé
Department of Afroasiatic Studies, Sign Language and Language Practice, University of the Free State, PO Box 339, Bloemfontein 9300,  naudej.hum@mail.ufs.ac.za
","National Inquiry Services Centre Pty Ltd, 19 Worcester Street, PO Box 377, Grahamstown, 6140",,ISI Arts & Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Public Law (SA Public Law),,2219-6412,,Biannually,"Professor M Beukes (UNISA)                         Department of Public, Constitutional & International Law
Tel: +27 12 4298335 Fax: +27 12 4298587
Beukem1@unisa.ac.za","VerLoren van Themaat Centre for Public Law Studies                                   UNISA, P.O. Box 392, Pretoria, 0003                           Tel: 012 429 8359; Fax: 012 429 8587                                                         ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern African Review of Education,,1563-4418,,Annually,Linda Chisholm,"Southern African Comparative and History of Education Society                                                     University of Pretoria                                                     Faculty of Education                                                Groenkloof Campus, Pretoria,0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Forests:  A Journal of Forest Science (Southern Hemisphere Forestry Journal),,2070-2620; E: 2070-2639,,Quarterly,"Dr Andrew Morris
Tel: (033) 330.2455
Fax: (033) 330.4938
Cell: (083) 661.7062
Email       andrew.morris@sappi.com
","NISC, P.O.Box 377                                           Grahamstown, 6140                                                   South Africa ",Reviewed 2010,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speculum Juris,,0584-8652,,Biannually,,Lexis Nexis Butterworths,Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spil Plus,Yes                                            URL: http://spilplus.journals.ac.za/pub,1726-541X,,Irregular,,"Department of General Linguistics                                 University of Stellenbosch                                                    Private Bag X1                                                             Matieland, 7602                                                          Stellenbosch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spil:Stellenbosch Papers in Linguistics,Yes                                            URL: http://spil.journals.ac.za/,1027-3417,,Annually,,"Department of General Linguistics                                        University of Stellenbosch                                                   Private Bag X1                                                          Matieland, 7602,                                                    Stellenbosch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellenbosch Law Review,,1016-4359,,Triannually,Lourens du Plessis ,"Ria de Kock: Juta                                                                                   P.O.Box 24299                                                     Lansdowne; 7779                                                 Tel:   021 797 5101,                                                                E-mail: cserv@juta.co.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stilet: Tydskrif vir die Afrikaanse Letterkundevereniging,,1013-4573,,Biannually,"Dr M.P. (Thys) Human
thysh@uj.ac.za
Department Afrikaans, University of Johannesburg, Auckland Park campus,                        PO Box 524, Auckland Park, 2006
Tel: 011 559-2778, Fax: 011 559-3061","Afrikaanse Letterkundevereeniging                    P.O.Box 339                                                        Bloemfontein, 9300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic Review for Southern Africa (ISSUP Strategic Review),,1013-1108,,Biannually,,"Institute for Strategic Studies, University of Pretoria, Pretoria, 0002; Email: wilma.martin@up.ac.za; Tel: 012 420 2407/2034; Fax: 012 420 2693",,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studia Historiae Ecclesiasticae: Journal of the Church History Society of Southern Africa,,1017-0499,,Biannually,"Prof Christina Landman
Research Institute for Theology and Religion
University of South Africa,
P O Box 392
UNISA 0003
Pretoria, South Africa
E-mail: landmc@unisa.ac.za","School of Ecclesiastical Sciences                                           PU for CHE                                                                         P.O.Box 20004                                                          Noordburg, 2522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studies in Economics and Econometrics,,0379-6205,,Triannually,E. v.d. M. Smit,"Bureau for Economic Research and Graduate School of Business                                                     University of Stellenbosch                                                  Private Bag 5050                                                       Stellenbosch, 7599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theologia Viatorum:Journal of Theology and Religion in Africa,,0378-4142,,Irregular,"Dr. S Moripe
Department of Psychology
University of Limpopo, Turfloop Campus
Private Bag X1106, Sovenga, 0727
Tel: 015 268-2233/2165                                         Fax: 015 268-2233/2320
Email: moripes@ul.ac.za, theologiav@ul.ac.za","Department of Psychology
University of Limpopo, Turfloop Campus
Private Bag X1106, Sovenga, 0727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Review of Economics & Finance (The Journal of the African Centre for Economics & Finance) ,http://www.african-review.com/,2042-1478,,Biannually,"Prof Paul Alagidede                               Graduate School of Business Administration, University of the Witwatersrand, PO Box 98, WITS, 2050                                                      Email: Paul.Alagidede@wits.ac.za; Contact no: (011) 717 3996. ","Department of Economics and Economic Hiostory, Rhodes Univesity, PO Box 94, Grahamstown, 6140",Added in 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theoria: A Journal of Social and Political Theory,,0040-5817,,Biannually,,"PO Box 50324, Randjesfontein, 1683, email: deacon@ukzn.ac.za
",,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town and Regional Planning,Yes                                   URL: http://natagri.ufs.ac.za/templates/journals.aspx?DCode=118  ,1012-280x,,Annually,Department of Urban and Regional Planning (UFS),"Bytes Document Solutions                                                 Suite 15 Student Centre                                       UOFS, PO Box 9828                                Bloemfontein,9300                                                           Tel: 051 401 2140/3378                                                               Fax:051 401 3763          Web:www.xerox.co.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transactions of the Royal Society of South Africa,,0035-919X,,Biannually,J.D. Skinner,PO Box 594                                                                                 Cape Town                                                                              8000                                                                                        Tel: 021 650 2541; Fax: 021 650 2710                                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydskrif vir Christelike Wetenskap,,1013-1116,,Biannually,Prof. D.F.M. Strauss,"Vereniging vir Christelike Hoer Onderwys,UOVS                                                           P.O.Box 339                                                    Bloemfontein, 9300",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydskrif vir Geesteswetenskappe,Yes                                       URL: http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0041-4751&lng=en&nrm=iso,0041-4751,,Quarterly,RC (Ina) Gräbe (Theory of Literature),"South african Academy for Science and Arts, 574 Ziervogel Street                                             Arcadia,0007                                                                Tel:  012 328 5082                                                     Fax: 012 328 5091                                                             E-mail:akademie@akademie.co.za",,ISI Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydskrif Vir Letterkunde ,Yes                                           URL: http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0041-476X&lng=en&nrm=iso,0041-476x ,,Biannually,Hein Willemse (UP),"University of Pretoria, Faculty of Economic & Management Sciences, Pretoria, 0002",,ISI Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydskrif vir Nederlands en Afrikaans,,1022-6966,,Biannually,Prof Dirk (UP) ,AOSIS & Medpharm,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verbum et Ecclesia (Skrif en Kerk),Yes                                        URL: http://www.ve.org.za,1609-9982,,Biannually,Prof D J Human,18 Van der Stel Building                                                      179 Pretorius Street                                          Pretoria;0001                                                            Tel:  012 323-5234/323 5251                                             Fax :012 325 2592,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vir die Musiekleier 



",,1999-3412,,Annually,"Editor: Professor WD Basson
Fax: 086 5701001","Southern African Organists’ Society
PO Box 6448
Uniedal
7612",Added 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yesterday & Today,Yes                                        URL: http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2223-0386&lng=en&nrm=iso,2223-0386,,Annually,Prof Elize van Eeden              elize.vaneeden@mwu.ac.za,"Yesterday & Today,           School of Basic Sciences               North West University                         P.O.Box 1174                                   Vanderbijlpark                                       1900",added 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journals Removed in 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOURNAL TITLE                                      (Previous title if applicable),ISSN,FREQUENCY,,EDITOR'S DETAILS                                                    (when available),PUBLISHER'S DETAILS,DATE OF LAST REVIEW OR ACCREDITATION,Reason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo,0379-4830,Annually,,,"Historical Society of Cape Town,                                         P.O. Box 157                                                           Newlands                                                                            7735",Reviewed 2009 (Removed 2011),Policy requirements not met,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journals Removed in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOURNAL TITLE                                      (Previous title if applicable),ISSN,FREQUENCY,,EDITOR'S DETAILS                                                    (when available),PUBLISHER'S DETAILS,DATE OF LAST REVIEW OR ACCREDITATION,Reason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journals removed in 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOURNAL TITLE                                      (Previous title if applicable),ISSN,FREQUENCY,,EDITOR'S DETAILS                                                    (when available),PUBLISHER'S DETAILS,DATE OF LAST REVIEW OR ACCREDITATION,Reason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art South Africa,1684-6133,,,Prof Law-Viljoen,Art SA,Reviewed 2012 and Removed 2013,Does not meet some of the requirements of the Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africanus: Journal of Development Studies,0304-615x,,,Dr du Plessis,UNISA Press,Reviewed 2012 and Removed 2013,Does not meet some of the requirements of the Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
